STRUCTURE TYPE,FLOOR,BASEMENT,DEWLLING UNIT,STRUCUTRE AGE,STRUCTURE 
Pucca,5, ,15,11-20,Mixed Use
Pucca,5, ,10,11-20,Mixed Use
Semi-Pucca,1, ,3,11-20,Residential
Pucca,5, ,10,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,4, , ,11-20,Commercial
Pucca,4, ,8,11-20,Residential
Pucca,5, ,5,11-20,Residential
Pucca,5, ,15,0-10,Residential
Pucca,4, ,4,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,5, ,10,11-20,Residential
Pucca,5, ,15,11-20,Mixed Use
Pucca,5, ,10,11-20,Residential
Pucca,4, ,8,0-10,Residential
Pucca,3, ,9,11-20,Residential
Pucca,4, ,12,11-20,Residential
Pucca,4, ,4,11-20,Residential
Pucca,3, ,6,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,2, ,2,11-20,Residential
Pucca,2, ,4,11-20,Residential
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, ,1,11-20,Residential
Pucca,6, ,10,11-20,Residential
Pucca,3, ,6,11-20,Residential
Pucca,3, ,3,11-20,Residential
Pucca,2, ,6,11-20,Residential
Pucca,1, ,1,11-20,Residential
Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Under Construction,4, , ,0-10,Miscellaneous
Pucca,2, ,4,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,3, ,9,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,4, ,4,0-10,Residential
Pucca,4, ,8,0-10,Residential
Pucca,3, ,9,21-30,Residential
Pucca,2, ,2,11-20,Residential
Pucca,3, ,3,11-20,Residential
Pucca,2, ,1,11-20,Residential
Pucca,6, ,18,11-20,Residential
Pucca,2, ,2,11-20,Residential
Pucca,3, ,3,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,1, ,2,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,3, ,6,11-20,Residential
Katcha,1, ,2,0-10,Residential
Katcha,1, , ,0-10,Transportation & Communication
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,2, ,2,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,4, ,16,11-20,Residential
Pucca,5, ,15,11-20,Residential
Pucca,6, ,12,11-20,Residential
Pucca,6, ,18,11-20,Residential
Pucca,4, ,8,11-20,Residential
Pucca,5, ,10,11-20,Residential
Pucca,6, ,12,0-10,Mixed Use
Pucca,6, ,12,0-10,Residential
Pucca,6, ,16,11-20,Residential
Pucca,5, ,10,11-20,Mixed Use
Pucca,4, ,15,11-20,Residential
Pucca,5, ,15,11-20,Residential
Pucca,9, ,50,11-20,Residential
Pucca,7, ,21,11-20,Residential
Pucca,6, ,18,11-20,Residential
Pucca,6, ,30,11-20,Residential
Pucca,5, ,15,0-10,Residential
Pucca,6, ,15,11-20,Residential
Pucca,6, ,18,0-10,Residential
Pucca,6, ,24,0-10,Mixed Use
Pucca,5, ,15,0-10,Residential
Pucca,5, ,8,11-20,Residential
Pucca,4, ,12,11-20,Residential
Pucca,6, ,18,11-20,Residential
Pucca,7, ,14,11-20,Residential
Pucca,8, ,24,11-20,Residential
Pucca,5, ,5,11-20,Residential
Pucca,4, ,4,11-20,Residential
Pucca,2, ,6,11-20,Mixed Use
Pucca,3, ,12,11-20,Residential
Pucca,4, ,8,0-10,Residential
Pucca,3, ,3,0-10,Residential
Pucca,3, ,9,11-20,Mixed Use
Pucca,3, ,6,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,5, ,15,11-20,Residential
Semi-Pucca,1, ,1,0-10,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Pucca,4, ,8,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,0-10,Residential
Semi-Pucca,1, ,1,0-10,Residential
Pucca,2, ,4,11-20,Residential
Pucca,2, ,4,11-20,Residential
Pucca,4, ,4,11-20,Residential
Pucca,8, ,32,11-20,Residential
Semi-Pucca,1, , ,0-10,Commercial
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Under Construction,8, , ,0-10,Miscellaneous
Under Construction,8, , ,0-10,Miscellaneous
Under Construction,8, , ,0-10,Miscellaneous
Under Construction,6, , ,0-10,Miscellaneous
Pucca,1, ,2,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,0-10,Residential
Pucca,3, ,3,11-20,Residential
Semi-Pucca,1, ,1,0-10,Mixed Use
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, ,2,0-10,Residential
Semi-Pucca,1, , ,0-10,Institutional
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, ,1,11-20,Mixed Use
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Semi-Pucca,1, ,1,11-20,Residential
Katcha,1, ,2,0-10,Residential
Katcha,1, ,1,0-10,Residential
Katcha,1, ,1,0-10,Residential
Katcha,1, ,1,0-10,Residential
Katcha,1, ,1,11-20,Residential
Katcha,1, ,1,0-10,Residential
Katcha,1, ,1,0-10,Residential
Katcha,1, ,3,0-10,Residential
